,epsilon,epsilon_0,noise,error,runtime,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1
72,0.25,0.009000000000000001,1.0,0.3899053720465499,16.930429935455322,27.0,27.0,,,,
73,0.25,0.009000000000000001,1.0,0.4149053720465499,16.919394969940186,28.0,28.0,,,,
74,0.25,0.009000000000000001,1.0,0.3789665863406606,16.860127925872806,29.0,29.0,,,,
75,0.25,0.009000000000000001,2.0,0.6007773010461973,16.77333092689514,30.0,30.0,,,,
76,0.25,0.009000000000000001,2.0,0.6132773010461973,16.795620679855347,31.0,31.0,,,,
77,0.25,0.009000000000000001,2.0,0.5444222405078171,16.808232069015506,32.0,32.0,,,,
78,0.25,0.009000000000000001,3.0,0.727068149759022,16.70227885246277,33.0,33.0,,,,
79,0.25,0.009000000000000001,3.0,0.7507773010461973,16.749772071838382,34.0,34.0,,,,
80,0.25,0.009000000000000001,3.0,0.7070273010461973,16.680416107177734,35.0,35.0,,,,
81,0.25,0.011,1.0,0.5457623133889737,10.530394792556764,36.0,36.0,,,,
82,0.25,0.011,1.0,0.5444222405078171,10.426915884017943,37.0,37.0,,,,
83,0.25,0.011,1.0,0.524422240507817,10.402019023895264,38.0,38.0,,,,
84,0.25,0.011,2.0,0.780818149759022,10.340099096298216,39.0,39.0,,,,
85,0.25,0.011,2.0,0.7532773010461973,10.370503187179564,40.0,40.0,,,,
86,0.25,0.011,2.0,0.7762383919125426,10.444547176361084,41.0,41.0,,,,
87,0.25,0.011,3.0,0.800818149759022,10.337519645690918,42.0,42.0,,,,
88,0.25,0.011,3.0,0.7920688844481015,10.322258949279783,43.0,43.0,,,,
89,0.25,0.011,3.0,0.790818149759022,10.33130407333374,44.0,44.0,,,,
90,0.2,0.003,1.0,0.21227224638532974,289.94346618652344,45.0,0.0,0.0,,,
91,0.2,0.003,1.0,0.18948155728730887,297.3489120006561,46.0,1.0,1.0,,,
92,0.2,0.003,1.0,0.21227224638532974,291.1380610466004,47.0,2.0,2.0,,,
93,0.2,0.003,2.0,0.2112918542284669,234.395085811615,48.0,3.0,3.0,,,
94,0.2,0.003,2.0,0.1904619494441717,238.3034589290619,49.0,4.0,4.0,,,
95,0.2,0.003,2.0,0.21227224638532974,242.6063470840454,50.0,5.0,5.0,,,
96,0.2,0.003,3.0,0.2271092779418103,204.9231550693512,51.0,6.0,6.0,,,
97,0.2,0.003,3.0,0.23397202303984954,205.39416694641116,52.0,7.0,7.0,,,
98,0.2,0.003,3.0,0.2397928349663599,209.85628318786618,53.0,8.0,8.0,,,
99,0.2,0.005,1.0,0.2557586562699999,50.134028911590576,54.0,9.0,9.0,,,
100,0.2,0.005,1.0,0.2613142118255554,46.78983998298645,55.0,10.0,10.0,,,
101,0.2,0.005,1.0,0.22908389169703386,46.56912899017334,56.0,11.0,11.0,,,
102,0.2,0.005,2.0,0.3550272324752165,43.43783807754517,57.0,12.0,12.0,,,
103,0.2,0.005,2.0,0.3649053720465499,43.50000405311585,58.0,13.0,13.0,,,
104,0.2,0.005,2.0,0.3649053720465499,43.41448283195496,59.0,14.0,14.0,,,
105,0.2,0.005,3.0,0.4469789585047608,43.255382776260376,60.0,15.0,15.0,,,
106,0.2,0.005,3.0,0.4444222405078171,43.22060203552246,61.0,16.0,16.0,,,
107,0.2,0.005,3.0,0.44975673628253854,43.189467906951904,62.0,17.0,17.0,,,
108,0.2,0.006999999999999999,1.0,0.3716938991418832,18.226521968841556,63.0,18.0,18.0,,,
109,0.2,0.006999999999999999,1.0,0.3661383435863276,18.281388998031613,64.0,19.0,19.0,,,
110,0.2,0.006999999999999999,1.0,0.37601648315766106,18.278527021408078,65.0,20.0,20.0,,,
