epsilon,epsilon_0,noise,error,runtime,Unnamed: 0
0.2,0.007,1.0,0.140186724540355,12.7796881198883,91.0
0.2,0.007,1.0,0.14241772791177,12.7363409996033,92.0
0.2,0.007,2.0,0.153528839022881,12.311516046524,93.0
0.2,0.007,2.0,0.147973283467326,12.4768280982971,94.0
0.2,0.007,2.0,0.14241772791177,12.295723676681499,95.0
0.2,0.007,3.0,0.164755060535332,12.2788372039795,96.0
0.2,0.007,3.0,0.159199504979776,12.326227903366101,97.0
0.2,0.007,3.0,0.159084394578437,12.696887016296401,98.0
0.2,0.009,1.0,0.159084394578437,7.72475695610046,99.0
0.2,0.009,1.0,0.149084394578437,7.750241041183469,100.0
0.2,0.009,1.0,0.159084394578437,7.7933521270752,101.0
0.2,0.009,2.0,0.181421727201998,7.64087986946106,102.0
0.2,0.009,2.0,0.171421727201998,7.66320991516113,103.0
0.2,0.009,2.0,0.171421727201998,7.588688135147099,104.0
0.2,0.009,3.0,0.204084599320257,8.15330696105957,105.0
0.2,0.009,3.0,0.184084599320257,7.6947729587554905,106.0
0.2,0.009,3.0,0.225821628925924,8.099613904953001,107.0
0.15,0.003,1.0,0.141227251721294,51.794185161590605,108.0
0.15,0.003,1.0,0.140596208181483,52.432170152664206,109.0
0.15,0.003,1.0,0.159084394578437,55.279310703277595,110.0
0.15,0.003,2.0,0.146584394578437,51.6267929077149,111.0
0.15,0.003,2.0,0.144798680292722,45.67441010475161,112.0
0.15,0.003,2.0,0.157298680292722,50.1878528594971,113.0
0.15,0.003,3.0,0.146584394578437,49.4088280200958,114.0
0.15,0.003,3.0,0.146584394578437,48.4326710700989,115.0
0.15,0.003,3.0,0.153117486706406,47.3207890987396,116.0
0.15,0.005,1.0,0.139084394578437,16.8502421379089,117.0
0.15,0.005,1.0,0.140596208181483,16.2726521492004,118.0
0.15,0.005,1.0,0.156688915277835,16.4482250213623,119.0
0.15,0.005,2.0,0.145919495516154,15.0553119182587,120.0
0.15,0.005,2.0,0.144084394578437,15.2892422676086,121.0
0.15,0.005,2.0,0.149084394578437,15.4162800312042,122.0
0.15,0.005,3.0,0.159084394578437,15.7704219818115,123.0
0.15,0.005,3.0,0.156688915277835,15.4623348712921,124.0
0.15,0.005,3.0,0.159084394578437,15.2130160331726,125.0
0.15,0.007,1.0,0.156688915277835,8.02636981010437,126.0
0.15,0.007,1.0,0.156688915277835,7.75564789772034,127.0
0.15,0.007,1.0,0.171421727201998,7.847561120986941,128.0
0.15,0.007,2.0,0.185821628925924,7.70878791809082,129.0
0.15,0.007,2.0,0.181898366160272,7.74879384040833,130.0
0.15,0.007,2.0,0.185821628925924,7.62514686584473,131.0
0.15,0.007,3.0,0.194084599320257,7.70113730430603,132.0
0.15,0.007,3.0,0.241898366160272,7.706243991851809,133.0
0.15,0.007,3.0,0.204084599320257,8.086745977401732,134.0
0.15,0.009,1.0,0.159084394578437,4.76742100715637,135.0
0.15,0.009,1.0,0.181421727201998,4.75103211402893,136.0
0.15,0.009,1.0,0.181421727201998,4.77344512939453,137.0
0.15,0.009,2.0,0.237417932653591,4.8273549079895,138.0
0.15,0.009,2.0,0.237417932653591,4.9303090572357195,139.0
0.15,0.009,2.0,0.254084599320257,4.79403400421143,140.0
0.15,0.009,3.0,0.275231699493605,4.80055689811707,141.0
0.15,0.009,3.0,0.291898366160272,4.81952619552612,142.0
0.15,0.009,3.0,0.275231699493605,4.78863286972046,143.0
0.1,0.0025,0.75,0.148355581944501,34.166405916213996,144.0
0.1,0.0025,0.75,0.174477282757554,32.9415872097015,145.0
0.1,0.0025,0.75,0.177255060535332,33.8577990531921,146.0
0.1,0.0025,1.0,0.157695505689548,33.239066839218104,147.0
0.1,0.0025,1.0,0.178643949424221,32.470703125,148.0
0.1,0.0025,1.0,0.15491772791177,32.4934320449829,149.0
0.1,0.0025,1.25,0.180032838313109,31.3159229755402,150.0
0.1,0.0025,1.25,0.157695505689548,32.2178599834442,151.0
0.1,0.0025,1.25,0.178643949424221,32.70849609375,152.0
0.1,0.003,0.75,0.154688915277835,21.418429851532,153.0
0.1,0.003,0.75,0.181421727201998,21.6302583217621,154.0
0.1,0.003,0.75,0.159084394578437,21.750474929809602,155.0
0.1,0.003,1.0,0.153084394578437,21.616777896881104,156.0
0.1,0.003,1.0,0.140596208181483,21.727264881134,157.0
0.1,0.003,1.0,0.181421727201998,21.940347194671602,158.0
0.1,0.003,1.25,0.139084394578437,21.1337339878082,159.0
0.1,0.003,1.25,0.152688915277835,21.1907551288605,160.0
0.1,0.003,1.25,0.159084394578437,21.4098591804504,161.0
0.1,0.0035,0.75,0.170310616090887,15.2370669841766,162.0
0.1,0.0035,0.75,0.170310616090887,15.504695892334,163.0
0.1,0.0035,0.75,0.167532838313109,15.6801829338074,164.0
0.1,0.0035,1.0,0.156688915277835,15.2095198631287,165.0
